https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume AR,Volume BUSD,tradecount
1682121600000,2023-04-22,ARBUSD,7.66,7.87,7.58,7.86,51822.55,399893.4754,2962
1682035200000,2023-04-21,ARBUSD,7.89,8.01,7.52,7.66,31634.04,245922.1239,3676
1681948800000,2023-04-20,ARBUSD,8.21,8.32,7.82,7.9,56083.09,453085.1589,4404
1681862400000,2023-04-19,ARBUSD,9.2,9.21,8.1,8.22,93037.64,790457.2705,7123
1681776000000,2023-04-18,ARBUSD,9.1,9.38,8.94,9.2,67337.65,620943.8902,5102
1681689600000,2023-04-17,ARBUSD,9.39,9.41,8.93,9.09,54751.31,499165.7997,5109
1681603200000,2023-04-16,ARBUSD,9.2,9.51,9.07,9.39,46415.0,432672.0859,3983
1681516800000,2023-04-15,ARBUSD,9.13,9.29,8.92,9.21,51077.19,464119.7278,4296
1681430400000,2023-04-14,ARBUSD,8.99,9.25,8.81,9.11,63856.22,580063.1404,4720
1681344000000,2023-04-13,ARBUSD,8.54,8.98,8.43,8.98,58479.16,514262.6138,5676
1681257600000,2023-04-12,ARBUSD,8.69,8.73,8.23,8.54,42949.4,360942.7905,4428
1681171200000,2023-04-11,ARBUSD,8.82,8.83,8.63,8.67,66315.08,577574.0245,4689
1681084800000,2023-04-10,ARBUSD,8.42,8.89,8.33,8.82,91811.23,792389.1114,7502
1680998400000,2023-04-09,ARBUSD,8.31,8.49,8.18,8.42,26457.07,220506.3686,3667
1680912000000,2023-04-08,ARBUSD,8.45,8.65,8.26,8.3,36685.95,310199.8251,3405
1680825600000,2023-04-07,ARBUSD,8.41,8.53,8.24,8.44,37172.8,312038.3633,4597
1680739200000,2023-04-06,ARBUSD,8.59,8.59,8.24,8.41,31560.85,264944.747,3792
1680652800000,2023-04-05,ARBUSD,8.48,8.75,8.29,8.6,43549.07,372913.0413,5350
1680566400000,2023-04-04,ARBUSD,8.26,8.75,8.15,8.48,61739.39,522925.7991,7053
1680480000000,2023-04-03,ARBUSD,8.31,8.46,8.09,8.25,74780.12,616211.6992,7622
1680393600000,2023-04-02,ARBUSD,8.75,8.92,8.16,8.31,50063.32,427215.4158,5737
1680307200000,2023-04-01,ARBUSD,8.72,9.05,8.55,8.74,54854.32,481066.6585,5357
1680220800000,2023-03-31,ARBUSD,8.22,8.89,8.08,8.72,61277.66,520197.6363,6285
1680134400000,2023-03-30,ARBUSD,8.54,8.62,8.06,8.21,50515.05,419705.8114,6076
1680048000000,2023-03-29,ARBUSD,8.08,8.67,8.05,8.54,57241.46,481952.847,5089
1679961600000,2023-03-28,ARBUSD,7.8,8.21,7.63,8.07,42070.35,331657.2122,5594
1679875200000,2023-03-27,ARBUSD,8.26,8.27,7.6,7.8,51983.88,411998.9276,5499
1679788800000,2023-03-26,ARBUSD,7.99,8.32,7.95,8.27,42360.69,346092.2578,4316
1679702400000,2023-03-25,ARBUSD,8.1,8.19,7.89,7.98,34092.62,273946.6136,4873
1679616000000,2023-03-24,ARBUSD,8.57,8.63,7.88,8.1,79841.04,656090.0896,7589
1679529600000,2023-03-23,ARBUSD,8.48,8.86,8.31,8.57,99091.54,851716.4021,6301
1679443200000,2023-03-22,ARBUSD,8.85,8.9,8.24,8.46,98635.29,854793.379,9107
1679356800000,2023-03-21,ARBUSD,8.52,9.0,8.34,8.84,90569.4,786933.6592,7394
1679270400000,2023-03-20,ARBUSD,9.07,9.33,8.41,8.52,151195.38,1350181.4491,9521
1679184000000,2023-03-19,ARBUSD,8.94,9.25,8.82,9.06,113734.97,1028494.8103,6058
1679097600000,2023-03-18,ARBUSD,9.46,9.78,8.87,8.91,123608.21,1162558.3335,6100
1679011200000,2023-03-17,ARBUSD,8.63,9.45,8.52,9.45,153282.71,1367055.8962,6842
1678924800000,2023-03-16,ARBUSD,7.88,8.94,7.77,8.65,211663.43,1777378.2334,8512
1678838400000,2023-03-15,ARBUSD,8.82,9.0,7.54,7.89,174424.32,1429125.6525,8191
1678752000000,2023-03-14,ARBUSD,8.54,9.35,8.25,8.83,207173.56,1815263.423,7852
1678665600000,2023-03-13,ARBUSD,8.3,8.77,7.88,8.54,279859.86,2331841.3047,8916
1678579200000,2023-03-12,ARBUSD,7.58,8.32,7.37,8.32,110915.45,862952.4155,4992
1678492800000,2023-03-11,ARBUSD,7.68,7.87,7.08,7.59,186662.06,1396955.2939,8781
1678406400000,2023-03-10,ARBUSD,7.45,7.75,6.88,7.7,260712.58,1907135.4434,11005
1678320000000,2023-03-09,ARBUSD,7.62,8.06,7.21,7.45,164577.52,1258901.9799,9430
1678233600000,2023-03-08,ARBUSD,8.38,8.45,7.4,7.61,145890.49,1160625.7215,6460
1678147200000,2023-03-07,ARBUSD,8.79,9.0,8.13,8.37,130266.89,1123544.1128,6672
1678060800000,2023-03-06,ARBUSD,8.72,8.96,8.53,8.79,163939.01,1438240.2043,8591
1677974400000,2023-03-05,ARBUSD,8.87,9.28,8.64,8.73,95703.32,856732.7558,6158
1677888000000,2023-03-04,ARBUSD,9.2,9.28,8.6,8.89,88689.77,794008.0915,6612
1677801600000,2023-03-03,ARBUSD,9.82,9.82,8.42,9.19,235282.1,2129515.887,13845
1677715200000,2023-03-02,ARBUSD,10.18,10.2,9.45,9.84,148094.07,1442290.4177,7025
1677628800000,2023-03-01,ARBUSD,9.87,10.44,9.79,10.16,140184.53,1420479.9941,7489
1677542400000,2023-02-28,ARBUSD,10.46,10.65,9.74,9.86,190269.16,1949402.6643,10521
1677456000000,2023-02-27,ARBUSD,10.23,10.77,9.9,10.46,299701.23,3129622.9802,13509
1677369600000,2023-02-26,ARBUSD,9.87,10.33,9.77,10.25,147415.26,1493422.3809,8869
1677283200000,2023-02-25,ARBUSD,10.25,10.34,9.39,9.88,136909.06,1360773.8113,8011
1677196800000,2023-02-24,ARBUSD,10.98,11.15,10.05,10.26,164907.18,1737969.4572,7483
1677110400000,2023-02-23,ARBUSD,11.21,11.48,10.7,10.99,169154.49,1883995.6439,9874
1677024000000,2023-02-22,ARBUSD,11.64,12.08,10.56,11.2,314517.27,3544309.4254,15366
1676937600000,2023-02-21,ARBUSD,12.77,12.8,11.43,11.62,248683.57,3006534.4504,13667
1676851200000,2023-02-20,ARBUSD,12.52,13.3,12.26,12.74,295617.36,3811010.1032,15779
