https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume ENJ,Volume USDT,tradecount
1760313600000,2025-10-13,ENJUSDT,0.0507,0.0546,0.0501,0.0533,40875643.4,2134177.94077,14643
1760227200000,2025-10-12,ENJUSDT,0.044,0.051,0.0429,0.0506,28679390.1,1341150.66309,11781
1760140800000,2025-10-11,ENJUSDT,0.0409,0.0468,0.0398,0.044,65582036.3,2834086.85431,29976
1760054400000,2025-10-10,ENJUSDT,0.0612,0.0635,0.00001,0.041,121380061.9,5423796.634361,61778
1759968000000,2025-10-09,ENJUSDT,0.0621,0.0622,0.0589,0.0611,16685162.3,1007106.55506,7700
1759881600000,2025-10-08,ENJUSDT,0.0602,0.0629,0.0596,0.0621,14785755.7,904202.28041,6131
1759795200000,2025-10-07,ENJUSDT,0.0634,0.0638,0.0597,0.0601,19312305.3,1189857.51611,10027
1759708800000,2025-10-06,ENJUSDT,0.0618,0.0642,0.0611,0.0634,14989539.1,939174.58767,8304
1759622400000,2025-10-05,ENJUSDT,0.0626,0.0652,0.0616,0.0619,25877149.0,1645390.18994,13750
1759536000000,2025-10-04,ENJUSDT,0.0644,0.0648,0.0616,0.0627,15148708.9,955802.91905,9291
1759449600000,2025-10-03,ENJUSDT,0.0653,0.0663,0.0635,0.0645,24403626.1,1582474.49272,13766
1759363200000,2025-10-02,ENJUSDT,0.0645,0.0661,0.0639,0.0653,12079288.0,788516.27311,6808
1759276800000,2025-10-01,ENJUSDT,0.0617,0.0645,0.0607,0.0645,14214697.3,895158.84659,7135
1759190400000,2025-09-30,ENJUSDT,0.0619,0.0622,0.0598,0.0617,13905387.8,849333.69834,7212
1759104000000,2025-09-29,ENJUSDT,0.0617,0.0624,0.0599,0.0619,11584939.9,710992.49206,5601
1759017600000,2025-09-28,ENJUSDT,0.0605,0.0619,0.059,0.0617,11794335.2,709179.57227,6650
1758931200000,2025-09-27,ENJUSDT,0.0609,0.0614,0.06,0.0606,8833528.4,536765.82082,4327
1758844800000,2025-09-26,ENJUSDT,0.0586,0.0613,0.0582,0.0609,14962070.1,892490.92181,6471
1758758400000,2025-09-25,ENJUSDT,0.0623,0.0624,0.0576,0.0585,26365629.7,1586358.35807,9882
1758672000000,2025-09-24,ENJUSDT,0.0623,0.0642,0.0612,0.0623,13642228.4,859745.13765,6985
1758585600000,2025-09-23,ENJUSDT,0.0627,0.0638,0.0609,0.0623,13928505.7,872962.45179,6359
1758499200000,2025-09-22,ENJUSDT,0.0674,0.0677,0.0591,0.0627,37042919.8,2319704.21265,24793
1758412800000,2025-09-21,ENJUSDT,0.0688,0.07,0.0671,0.0674,13795649.7,944087.90767,8574
1758326400000,2025-09-20,ENJUSDT,0.0685,0.0699,0.068,0.0689,9946057.8,685923.57899,7114
1758240000000,2025-09-19,ENJUSDT,0.0723,0.0734,0.068,0.0685,22318238.8,1573613.48792,11224
1758153600000,2025-09-18,ENJUSDT,0.0713,0.0728,0.0705,0.0723,14696739.9,1054911.81697,8365
1758067200000,2025-09-17,ENJUSDT,0.0696,0.0718,0.0677,0.0713,18996125.2,1317508.18609,12632
1757980800000,2025-09-16,ENJUSDT,0.0679,0.0701,0.0665,0.0695,14072651.7,965764.61766,10562
1757894400000,2025-09-15,ENJUSDT,0.0695,0.0707,0.0663,0.068,21912866.2,1487592.22633,13055
1757808000000,2025-09-14,ENJUSDT,0.0736,0.0738,0.0689,0.0695,12927431.2,916697.82786,8951
1757721600000,2025-09-13,ENJUSDT,0.0725,0.0747,0.0718,0.0736,14324317.1,1048935.77393,9342
1757635200000,2025-09-12,ENJUSDT,0.0706,0.0725,0.0694,0.0725,15658348.4,1111534.29,8722
1757548800000,2025-09-11,ENJUSDT,0.0705,0.0725,0.0691,0.0705,21284254.4,1500584.02591,11427
1757462400000,2025-09-10,ENJUSDT,0.0694,0.0714,0.0688,0.0705,17496074.9,1229130.60809,10186
1757376000000,2025-09-09,ENJUSDT,0.0683,0.0712,0.0675,0.0694,25065325.6,1741200.27074,15160
1757289600000,2025-09-08,ENJUSDT,0.0665,0.0686,0.066,0.0682,15217218.0,1027554.93314,8591
1757203200000,2025-09-07,ENJUSDT,0.0657,0.0668,0.0657,0.0664,12418774.9,823851.72656,6586
1757116800000,2025-09-06,ENJUSDT,0.0667,0.067,0.0649,0.0657,14951312.2,982552.80436,7980
1757030400000,2025-09-05,ENJUSDT,0.0656,0.0683,0.0653,0.0667,26314755.5,1754144.15444,11806
1756944000000,2025-09-04,ENJUSDT,0.0679,0.0683,0.065,0.0656,20132576.4,1334619.89283,6281
1756857600000,2025-09-03,ENJUSDT,0.0679,0.0686,0.0667,0.0678,16233883.9,1099602.96518,6630
1756771200000,2025-09-02,ENJUSDT,0.0655,0.0679,0.0652,0.0678,17509570.0,1168711.41933,7696
1756684800000,2025-09-01,ENJUSDT,0.0673,0.0691,0.0638,0.0656,23853737.5,1579735.67521,9633
1756598400000,2025-08-31,ENJUSDT,0.068,0.0705,0.0673,0.0673,18997427.8,1311240.48035,7484
1756512000000,2025-08-30,ENJUSDT,0.0662,0.0687,0.0651,0.068,13004888.9,875493.86185,5751
1756425600000,2025-08-29,ENJUSDT,0.0703,0.0707,0.0647,0.0662,21805928.6,1467524.24496,10673
1756339200000,2025-08-28,ENJUSDT,0.0673,0.0703,0.0668,0.0703,15578150.3,1070710.48509,9050
1756252800000,2025-08-27,ENJUSDT,0.0681,0.0687,0.0666,0.0673,19296806.4,1308186.96947,9761
1756166400000,2025-08-26,ENJUSDT,0.0654,0.0688,0.0646,0.0682,21911244.1,1455495.86774,9249
1756080000000,2025-08-25,ENJUSDT,0.0718,0.0732,0.0645,0.0654,34586561.5,2355439.59547,18209
1755993600000,2025-08-24,ENJUSDT,0.0751,0.0755,0.0705,0.0718,34506500.4,2507326.33624,21568
1755907200000,2025-08-23,ENJUSDT,0.0756,0.076,0.073,0.075,23819993.8,1779448.80824,16216
1755820800000,2025-08-22,ENJUSDT,0.0686,0.0759,0.0662,0.0755,32999672.6,2333420.07373,16582
1755734400000,2025-08-21,ENJUSDT,0.0701,0.0709,0.0677,0.0686,24994898.4,1723984.03471,11336
1755648000000,2025-08-20,ENJUSDT,0.0657,0.0704,0.0656,0.0701,20697667.2,1407902.18187,10265
