https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume SAND,Volume USDT,tradecount
1762732800000,2025-11-10,SANDUSDT,0.2063,0.2139,0.202,0.2106,12082208.0,2514836.2446,24147
1762646400000,2025-11-09,SANDUSDT,0.2048,0.2113,0.1968,0.2062,14934251.0,3047067.8933,22507
1762560000000,2025-11-08,SANDUSDT,0.2073,0.2121,0.1971,0.2047,22485035.0,4571898.2011,35769
1762473600000,2025-11-07,SANDUSDT,0.1806,0.214,0.179,0.2073,28426190.0,5578493.4501,53618
1762387200000,2025-11-06,SANDUSDT,0.1833,0.1842,0.1741,0.1805,13318431.0,2396531.942,17855
1762300800000,2025-11-05,SANDUSDT,0.1738,0.1855,0.1651,0.1834,9963316.0,1774017.6858,15736
1762214400000,2025-11-04,SANDUSDT,0.1821,0.1858,0.1623,0.1739,25467901.0,4468471.5719,38919
1762128000000,2025-11-03,SANDUSDT,0.208,0.2083,0.1754,0.1819,24552727.0,4618875.2618,35232
1762041600000,2025-11-02,SANDUSDT,0.2084,0.2101,0.2013,0.208,6477837.0,1338313.0067,9590
1761955200000,2025-11-01,SANDUSDT,0.2021,0.2097,0.2008,0.2082,10719571.0,2212617.4896,15345
1761868800000,2025-10-31,SANDUSDT,0.1971,0.2048,0.1966,0.2021,9300654.0,1867025.145,13245
1761782400000,2025-10-30,SANDUSDT,0.2113,0.2139,0.1895,0.197,26780548.0,5384264.2563,35684
1761696000000,2025-10-29,SANDUSDT,0.2101,0.219,0.2061,0.2112,11726322.0,2492706.8075,21951
1761609600000,2025-10-28,SANDUSDT,0.2148,0.2181,0.2052,0.2101,10636022.0,2262065.5634,16257
1761523200000,2025-10-27,SANDUSDT,0.2191,0.2234,0.213,0.2147,10685446.0,2328373.1361,17264
1761436800000,2025-10-26,SANDUSDT,0.2133,0.2219,0.2096,0.2191,11818123.0,2562126.1523,13959
1761350400000,2025-10-25,SANDUSDT,0.2146,0.2153,0.2112,0.2133,5630341.0,1201113.1542,8667
1761264000000,2025-10-24,SANDUSDT,0.207,0.2187,0.2067,0.2146,10295727.0,2184508.1494,18557
1761177600000,2025-10-23,SANDUSDT,0.2039,0.2126,0.2035,0.207,9751777.0,2024219.0258,13675
1761091200000,2025-10-22,SANDUSDT,0.2073,0.2103,0.197,0.2039,20072475.0,4117390.2033,30404
1761004800000,2025-10-21,SANDUSDT,0.2143,0.2266,0.2051,0.2073,20643504.0,4421573.5905,35637
1760918400000,2025-10-20,SANDUSDT,0.2091,0.2184,0.2047,0.2144,10961804.0,2338781.131,18981
1760832000000,2025-10-19,SANDUSDT,0.2035,0.2134,0.2004,0.2091,12168209.0,2523629.8005,20607
1760745600000,2025-10-18,SANDUSDT,0.2009,0.2062,0.2002,0.2034,9981742.0,2028812.6115,13565
1760659200000,2025-10-17,SANDUSDT,0.2069,0.2095,0.1909,0.2008,28731698.0,5731275.5469,54688
1760572800000,2025-10-16,SANDUSDT,0.2158,0.2218,0.2043,0.207,22231995.0,4733874.3086,53867
1760486400000,2025-10-15,SANDUSDT,0.2264,0.2311,0.2118,0.2158,17170758.0,3800724.7327,41834
1760400000000,2025-10-14,SANDUSDT,0.2331,0.2338,0.2097,0.2264,27253198.0,6005178.9468,54263
1760313600000,2025-10-13,SANDUSDT,0.2186,0.2372,0.216,0.2331,22872993.0,5142006.6376,69865
1760227200000,2025-10-12,SANDUSDT,0.1943,0.2233,0.1911,0.2188,23873422.0,4934686.7898,50058
1760140800000,2025-10-11,SANDUSDT,0.1875,0.21,0.1851,0.1943,82052139.0,16034503.812,126917
1760054400000,2025-10-10,SANDUSDT,0.2657,0.3,0.017,0.1874,116536319.2,22900173.6158,203106
1759968000000,2025-10-09,SANDUSDT,0.2723,0.2732,0.2575,0.2655,23024416.0,6063631.9448,42181
1759881600000,2025-10-08,SANDUSDT,0.2683,0.2769,0.2639,0.2723,17190867.0,4634621.2129,36109
1759795200000,2025-10-07,SANDUSDT,0.2859,0.2873,0.2671,0.2683,20496169.0,5669591.8458,45326
1759708800000,2025-10-06,SANDUSDT,0.2761,0.2899,0.2741,0.2859,17366104.0,4908464.9988,35834
