https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume MKR,Volume USDT,tradecount
1739059200000,2025-02-09,MKRUSDT,933.0,936.0,875.0,904.0,11928.3531,10805681.6008,37744
1738972800000,2025-02-08,MKRUSDT,930.0,959.0,912.0,934.0,7483.4307,6993106.0191,26027
1738886400000,2025-02-07,MKRUSDT,901.0,942.0,891.0,930.0,7097.1726,6503032.5914,29869
1738800000000,2025-02-06,MKRUSDT,917.0,939.0,879.0,901.0,6707.0922,6079641.9899,32744
1738713600000,2025-02-05,MKRUSDT,914.0,946.0,902.0,917.0,6374.7858,5879808.9604,22232
1738627200000,2025-02-04,MKRUSDT,990.0,994.0,898.0,914.0,13170.0255,12355992.9756,44503
1738540800000,2025-02-03,MKRUSDT,1023.0,1023.0,778.0,991.0,38068.6561,35071478.0794,107413
1738454400000,2025-02-02,MKRUSDT,1079.0,1104.0,975.0,1023.0,14638.5971,15134651.3858,60891
1738368000000,2025-02-01,MKRUSDT,1151.0,1159.0,1073.0,1081.0,5360.9015,6014330.4905,19954
1738281600000,2025-01-31,MKRUSDT,1075.0,1204.0,1072.0,1151.0,10061.8978,11564932.9817,40148
1738195200000,2025-01-30,MKRUSDT,1099.0,1146.0,1068.0,1074.0,10456.5896,11606553.8269,35197
1738108800000,2025-01-29,MKRUSDT,1129.0,1142.0,1083.0,1100.0,5527.8523,6165750.1402,22503
1738022400000,2025-01-28,MKRUSDT,1205.0,1214.0,1118.0,1129.0,2744.4434,3219828.6433,12526
1737936000000,2025-01-27,MKRUSDT,1197.0,1232.0,1115.0,1206.0,9402.9338,10966999.6325,36275
1737849600000,2025-01-26,MKRUSDT,1232.0,1251.0,1196.0,1197.0,3484.0547,4285065.5778,13352
1737763200000,2025-01-25,MKRUSDT,1254.0,1266.0,1231.0,1231.0,3189.6215,3972851.1805,12688
1737676800000,2025-01-24,MKRUSDT,1273.0,1333.0,1235.0,1257.0,7493.3578,9673081.0668,28085
1737590400000,2025-01-23,MKRUSDT,1250.0,1278.0,1216.0,1273.0,6832.0359,8520676.2695,25853
1737504000000,2025-01-22,MKRUSDT,1301.0,1313.0,1243.0,1249.0,3678.3022,4688949.3765,14291
1737417600000,2025-01-21,MKRUSDT,1294.0,1318.0,1258.0,1301.0,5776.0041,7454119.429,24106
1737331200000,2025-01-20,MKRUSDT,1279.0,1416.0,1243.0,1294.0,16779.0326,22014113.8094,71210
1737244800000,2025-01-19,MKRUSDT,1378.0,1414.0,1258.0,1279.0,17024.2469,22534641.034,60179
1737158400000,2025-01-18,MKRUSDT,1463.0,1477.0,1355.0,1380.0,7568.6382,10564040.08,26395
